order_id,order_date,product_name,category,quantity,unit_price,region,customer_id
1001,2024-01-05,Laptop Pro 15,Electronics,2,1299.99,North America,C1001
1002,2024-01-07,Office Chair Deluxe,Furniture,5,349.99,Europe,C1002
1003,2024-01-10,Wireless Mouse,Electronics,10,29.99,Asia,C1003
1004,2024-01-12,Standing Desk,Furniture,3,599.99,North America,C1004
1005,2024-01-15,USB-C Hub,Electronics,15,49.99,Europe,C1005
1006,2024-01-18,Monitor 27",Electronics,4,449.99,Asia,C1006
1007,2024-01-20,Desk Lamp LED,Furniture,8,79.99,North America,C1007
1008,2024-01-22,Keyboard Mechanical,Electronics,6,159.99,Europe,C1008
1009,2024-01-25,Ergonomic Chair,Furniture,2,899.99,Asia,C1009
1010,2024-01-28,Webcam HD,Electronics,12,89.99,North America,C1010
1011,2024-02-01,Laptop Bag,Accessories,20,59.99,Europe,C1011
1012,2024-02-03,Phone Stand,Accessories,25,19.99,Asia,C1012
1013,2024-02-05,Tablet Pro,Electronics,3,899.99,North America,C1013
1014,2024-02-08,Filing Cabinet,Furniture,4,299.99,Europe,C1014
1015,2024-02-10,Headphones Wireless,Electronics,8,199.99,Asia,C1015
1016,2024-02-12,Desk Organizer,Accessories,30,24.99,North America,C1016
1017,2024-02-15,Printer Laser,Electronics,2,449.99,Europe,C1017
1018,2024-02-18,Bookshelf,Furniture,3,199.99,Asia,C1018
1019,2024-02-20,Cable Management,Accessories,40,14.99,North America,C1019
1020,2024-02-22,Monitor Arm,Furniture,5,149.99,Europe,C1020
1021,2024-02-25,Laptop Stand,Accessories,15,39.99,Asia,C1021
1022,2024-02-28,Power Strip,Electronics,10,34.99,North America,C1022
1023,2024-03-01,Conference Phone,Electronics,1,599.99,Europe,C1023
1024,2024-03-03,Whiteboard,Furniture,2,179.99,Asia,C1024
1025,2024-03-05,Mouse Pad,Accessories,50,9.99,North America,C1025
1026,2024-03-08,External SSD 1TB,Electronics,6,149.99,Europe,C1026
1027,2024-03-10,Office Table,Furniture,4,499.99,Asia,C1027
1028,2024-03-12,Pen Holder,Accessories,35,7.99,North America,C1028
1029,2024-03-15,Docking Station,Electronics,3,249.99,Europe,C1029
1030,2024-03-18,Task Chair,Furniture,7,399.99,Asia,C1030
1031,2024-03-20,Screen Protector,Accessories,45,12.99,North America,C1031
1032,2024-03-22,Router WiFi 6,Electronics,4,179.99,Europe,C1032
1033,2024-03-25,Storage Cabinet,Furniture,2,349.99,Asia,C1033
1034,2024-03-28,USB Flash Drive,Electronics,20,19.99,North America,C1034
1035,2024-03-30,Desk Mat,Accessories,18,29.99,Europe,C1035
